run_id,model_name,lambda_b,success,total_turns,failure_turn,final_response,peak_vram_mb,avg_cache_mb,timestamp
v4_gpt-oss-20b_L0.0_20260401_015535,openai/gpt-oss-20b,0.0,1.0,7,,QUANTUM_ECHO_99,39944.12060546875,21.74674333844866,2026-04-01 01:57:28
v4_gpt-oss-20b_L5e-05_20260401_015535,openai/gpt-oss-20b,5e-05,0.0,6,6.0,QUANTUM_E??,39929.21337890625,13.837331136067709,2026-04-01 01:59:01
v4_gpt-oss-20b_L7.500000000000001e-05_20260401_015535,openai/gpt-oss-20b,7.500000000000001e-05,0.0,4,4.0,??,39928.30712890625,13.043060302734375,2026-04-01 02:00:03
v4_gpt-oss-20b_L0.0001_20260401_015535,openai/gpt-oss-20b,0.0001,0.0,7,7.0,UNKNOWN,39930.85009765625,14.567055838448661,2026-04-01 02:01:53
v4_gpt-oss-20b_L0.000125_20260401_015535,openai/gpt-oss-20b,0.000125,0.0,5,5.0,N/A,39929.94775390625,13.809857177734376,2026-04-01 02:03:18
v4_gemma-3-27b-it_L0.0_20260401_020639,google/gemma-3-27b-it,0.0,0.0,10,10.0,Amnesia Loop / Max Turns,16096.216796875,0.0,2026-04-01 02:14:53
v4_gemma-3-27b-it_L5e-05_20260401_020639,google/gemma-3-27b-it,5e-05,0.0,0,0.0,LangGraph Execution Crash: argument of type 'NoneType' is not iterable,49343.83740234375,0.0,2026-04-01 02:24:21
v4_gemma-3-27b-it_L7.500000000000001e-05_20260401_020639,google/gemma-3-27b-it,7.500000000000001e-05,0.0,10,10.0,Amnesia Loop / Max Turns,15728.4482421875,0.0,2026-04-01 02:33:24
v4_gemma-3-27b-it_L0.0001_20260401_020639,google/gemma-3-27b-it,0.0001,0.0,10,10.0,Amnesia Loop / Max Turns,15711.7353515625,0.0,2026-04-01 02:42:49
v4_gemma-3-27b-it_L0.000125_20260401_020639,google/gemma-3-27b-it,0.000125,0.0,10,10.0,Amnesia Loop / Max Turns,15725.8681640625,0.0,2026-04-01 02:53:07
v4_Qwen3-Coder-30B-A3B-Instruct_L0.0_20260401_025634,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.0,0.0,5,5.0,NO_DOWNLOAD_RECORDS_FOUND,57027.787109375,49.89375,2026-04-01 02:59:21
v4_Qwen3-Coder-30B-A3B-Instruct_L5e-05_20260401_025634,Qwen/Qwen3-Coder-30B-A3B-Instruct,5e-05,0.0,8,8.0,A1B2C3D4E5F6,57000.939453125,30.85498046875,2026-04-01 03:04:18
v4_Qwen3-Coder-30B-A3B-Instruct_L7.500000000000001e-05_20260401_025634,Qwen/Qwen3-Coder-30B-A3B-Instruct,7.500000000000001e-05,0.0,7,7.0,ACCESS_DENIED,57003.095703125,29.513113839285715,2026-04-01 03:08:35
v4_Qwen3-Coder-30B-A3B-Instruct_L0.0001_20260401_025634,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.0001,0.0,8,8.0,A1B2C3D4,57002.03515625,30.734619140625,2026-04-01 03:13:31
v4_Qwen3-Coder-30B-A3B-Instruct_L0.000125_20260401_025634,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.000125,0.0,10,10.0,Amnesia Loop / Max Turns,56999.208984375,30.3947265625,2026-04-01 03:19:44
v4_Devstral-Small-2-24B-Instruct-2512_L0.0_20260401_032130,mistralai/Devstral-Small-2-24B-Instruct-2512,0.0,1.0,4,,QUANTUM_ECHO_99,45957.271484375,0.0,2026-04-01 03:22:37
v4_Devstral-Small-2-24B-Instruct-2512_L5e-05_20260401_032130,mistralai/Devstral-Small-2-24B-Instruct-2512,5e-05,1.0,6,,QUANTUM_ECHO_99,45913.9716796875,0.0,2026-04-01 03:24:31
v4_Devstral-Small-2-24B-Instruct-2512_L7.500000000000001e-05_20260401_032130,mistralai/Devstral-Small-2-24B-Instruct-2512,7.500000000000001e-05,1.0,5,,QUANTUM_ECHO_99,45909.560546875,0.0,2026-04-01 03:26:06
v4_Devstral-Small-2-24B-Instruct-2512_L0.0001_20260401_032130,mistralai/Devstral-Small-2-24B-Instruct-2512,0.0001,1.0,7,,QUANTUM_ECHO_99,45917.8994140625,0.0,2026-04-01 03:28:23
v4_Devstral-Small-2-24B-Instruct-2512_L0.000125_20260401_032130,mistralai/Devstral-Small-2-24B-Instruct-2512,0.000125,1.0,6,,QUANTUM_ECHO_99,45907.6435546875,0.0,2026-04-01 03:30:16
